"Comas";"Ile";"TrancheAge";"Sexe";"StatutMarital";"StatutOccupation";"StatutMaritalFreq";"AgeMin";"AgeMax"
"Afareaitu";"Moorea";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,515759312320917;14;19
"Afareaitu";"Moorea";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,506920415224913;20;29
"Afareaitu";"Moorea";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,493079584775087;20;29
"Afareaitu";"Moorea";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,491329479768786;30;39
"Afareaitu";"Moorea";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,508670520231214;30;39
"Afareaitu";"Moorea";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,474088291746641;40;49
"Afareaitu";"Moorea";"40 - 49 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,525911708253359;40;49
"Afareaitu";"Moorea";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,493074792243767;50;59
"Afareaitu";"Moorea";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,506925207756233;50;59
"Afareaitu";"Moorea";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,501501501501502;60;150
"Afareaitu";"Moorea";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,498498498498498;60;150
"Ahe";"Ahe";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,44954128440367;0;13
"Ahe";"Ahe";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,55045871559633;0;13
"Ahe";"Ahe";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,391304347826087;14;19
"Ahe";"Ahe";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,608695652173913;14;19
"Ahe";"Ahe";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,367924528301887;20;29
"Ahe";"Ahe";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,632075471698113;20;29
"Ahe";"Ahe";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,397959183673469;30;39
"Ahe";"Ahe";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,602040816326531;30;39
"Ahe";"Ahe";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,429906542056075;40;49
"Ahe";"Ahe";"40 - 49 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,570093457943925;40;49
"Ahe";"Ahe";"50 - 59 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,333333333333333;50;59
"Ahe";"Ahe";"50 - 59 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,666666666666667;50;59
"Ahe";"Ahe";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,431818181818182;60;150
"Ahe";"Ahe";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,568181818181818;60;150
"Amanu";"Amanu";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,508196721311475;0;13
"Amanu";"Amanu";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,491803278688525;0;13
"Amanu";"Amanu";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,478260869565217;14;19
"Amanu";"Amanu";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,521739130434783;14;19
"Amanu";"Amanu";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,568181818181818;20;29
"Amanu";"Amanu";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,431818181818182;20;29
"Amanu";"Amanu";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,448275862068966;30;39
"Amanu";"Amanu";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,551724137931034;30;39
"Amanu";"Amanu";"40 - 49 ans";"Femme";"Célibataire";"Logé gratuitement (parents, amis, employeurs)";0,416666666666667;40;49
"Amanu";"Amanu";"40 - 49 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,583333333333333;40;49
"Amanu";"Amanu";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,636363636363636;50;59
"Amanu";"Amanu";"50 - 59 ans";"Homme";"Marié(e)";"Logé gratuitement (parents, amis, employeurs)";0,363636363636364;50;59
"Amanu";"Amanu";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,333333333333333;60;150
"Amanu";"Amanu";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,666666666666667;60;150
"Amanu";"Tauere";"20 - 29 ans";"Femme";"Célibataire";"Logé gratuitement (parents, amis, employeurs)";1;20;29
"Amanu";"Tauere";"50 - 59 ans";"Homme";"Marié(e)";"Logé gratuitement (parents, amis, employeurs)";1;50;59
"Amanu";"Tauere";"60 ans +";"Homme";"Célibataire";"Propriétaire du sol et du logement";1;60;150
"Amaru";"Rimatara";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,556962025316456;0;13
"Amaru";"Rimatara";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,443037974683544;0;13
"Amaru";"Rimatara";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,28;14;19
"Amaru";"Rimatara";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,72;14;19
"Amaru";"Rimatara";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,395348837209302;20;29
"Amaru";"Rimatara";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,604651162790698;20;29
"Amaru";"Rimatara";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,484848484848485;30;39
"Amaru";"Rimatara";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,515151515151515;30;39
"Amaru";"Rimatara";"40 - 49 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,526315789473684;40;49
"Amaru";"Rimatara";"40 - 49 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,473684210526316;40;49
"Amaru";"Rimatara";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,458333333333333;50;59
"Amaru";"Rimatara";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,541666666666667;50;59
"Amaru";"Rimatara";"60 ans +";"Femme";"Veuf,veuve";"Propriétaire du sol et du logement";0,6;60;150
"Amaru";"Rimatara";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,4;60;150
"Anaa";"Anaa";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,431034482758621;0;13
"Anaa";"Anaa";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,568965517241379;0;13
"Anaa";"Anaa";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,509433962264151;14;19
"Anaa";"Anaa";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,490566037735849;14;19
"Anaa";"Anaa";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,375;20;29
"Anaa";"Anaa";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,625;20;29
"Anaa";"Anaa";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,4375;30;39
"Anaa";"Anaa";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,5625;30;39
"Anaa";"Anaa";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,555555555555556;40;49
"Anaa";"Anaa";"40 - 49 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,444444444444444;40;49
"Anaa";"Anaa";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,519230769230769;50;59
"Anaa";"Anaa";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,480769230769231;50;59
"Anaa";"Anaa";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,444444444444444;60;150
"Anaa";"Anaa";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,555555555555556;60;150
"Anapoto";"Rimatara";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,547619047619048;0;13
"Anapoto";"Rimatara";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,452380952380952;0;13
"Anapoto";"Rimatara";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,538461538461538;14;19
"Anapoto";"Rimatara";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,461538461538462;14;19
"Anapoto";"Rimatara";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,480769230769231;20;29
"Anapoto";"Rimatara";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,519230769230769;20;29
"Anapoto";"Rimatara";"30 - 39 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,578947368421053;30;39
"Anapoto";"Rimatara";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,421052631578947;30;39
"Anapoto";"Rimatara";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,484848484848485;40;49
"Anapoto";"Rimatara";"40 - 49 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,515151515151515;40;49
"Anapoto";"Rimatara";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,4375;50;59
"Anapoto";"Rimatara";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,5625;50;59
"Anapoto";"Rimatara";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,458333333333333;60;150
"Anapoto";"Rimatara";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,541666666666667;60;150
"Anatonu";"Raivavae";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,5;0;13
"Anatonu";"Raivavae";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,5;0;13
"Anatonu";"Raivavae";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,5625;14;19
"Anatonu";"Raivavae";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,4375;14;19
"Anatonu";"Raivavae";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,318181818181818;20;29
"Anatonu";"Raivavae";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,681818181818182;20;29
"Anatonu";"Raivavae";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,586206896551724;30;39
"Anatonu";"Raivavae";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,413793103448276;30;39
"Anatonu";"Raivavae";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,545454545454545;40;49
"Anatonu";"Raivavae";"40 - 49 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,454545454545455;40;49
"Anatonu";"Raivavae";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,45;50;59
"Anatonu";"Raivavae";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,55;50;59
"Anatonu";"Raivavae";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,469387755102041;60;150
"Anatonu";"Raivavae";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,530612244897959;60;150
"Anau";"Bora Bora";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,495348837209302;0;13
"Anau";"Bora Bora";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,504651162790698;0;13
"Anau";"Bora Bora";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,461538461538462;14;19
"Anau";"Bora Bora";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,538461538461538;14;19
"Anau";"Bora Bora";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,501259445843829;20;29
"Anau";"Bora Bora";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,498740554156171;20;29
"Anau";"Bora Bora";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,498402555910543;30;39
"Anau";"Bora Bora";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,501597444089457;30;39
"Anau";"Bora Bora";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,379912663755459;40;49
"Anau";"Bora Bora";"40 - 49 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,620087336244541;40;49
"Anau";"Bora Bora";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,574468085106383;50;59
"Anau";"Bora Bora";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,425531914893617;50;59
"Anau";"Bora Bora";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,369565217391304;60;150
"Anau";"Bora Bora";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,630434782608696;60;150
"Apataki";"Apataki";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,445945945945946;0;13
"Apataki";"Apataki";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,554054054054054;0;13
"Apataki";"Apataki";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,363636363636364;14;19
"Apataki";"Apataki";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,636363636363636;14;19
"Apataki";"Apataki";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,5;20;29
"Apataki";"Apataki";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,5;20;29
"Apataki";"Apataki";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,421875;30;39
"Apataki";"Apataki";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,578125;30;39
"Apataki";"Apataki";"40 - 49 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,409090909090909;40;49
"Apataki";"Apataki";"40 - 49 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,590909090909091;40;49
"Apataki";"Apataki";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,5625;50;59
"Apataki";"Apataki";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,4375;50;59
"Apataki";"Apataki";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,485714285714286;60;150
"Apataki";"Apataki";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,514285714285714;60;150
"Arue";"Tahiti";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,509081983308787;0;13
"Arue";"Tahiti";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,490918016691213;0;13
"Arue";"Tahiti";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,489479512735327;14;19
"Arue";"Tahiti";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,510520487264673;14;19
"Arue";"Tahiti";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,479949077021006;20;29
"Arue";"Tahiti";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,520050922978994;20;29
"Arue";"Tahiti";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,531645569620253;30;39
"Arue";"Tahiti";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,468354430379747;30;39
"Arue";"Tahiti";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,495862068965517;40;49
"Arue";"Tahiti";"40 - 49 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,504137931034483;40;49
"Arue";"Tahiti";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,478300180831826;50;59
"Arue";"Tahiti";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,521699819168174;50;59
"Arue";"Tahiti";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,533014354066986;60;150
"Arue";"Tahiti";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,466985645933014;60;150
"Arue";"Tahiti";;"Homme";"Marié(e)";"Propriétaire du sol et du logement";1;;150
"Arutua";"Arutua";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,415094339622642;0;13
"Arutua";"Arutua";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,584905660377358;0;13
"Arutua";"Arutua";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,442857142857143;14;19
"Arutua";"Arutua";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,557142857142857;14;19
"Arutua";"Arutua";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,448979591836735;20;29
"Arutua";"Arutua";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,551020408163265;20;29
"Arutua";"Arutua";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,411290322580645;30;39
"Arutua";"Arutua";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,588709677419355;30;39
"Arutua";"Arutua";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,435897435897436;40;49
"Arutua";"Arutua";"40 - 49 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,564102564102564;40;49
"Arutua";"Arutua";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,436363636363636;50;59
"Arutua";"Arutua";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,563636363636364;50;59
"Arutua";"Arutua";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,48936170212766;60;150
"Arutua";"Arutua";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,51063829787234;60;150
"Atuona";"Hiva Oa";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,493273542600897;0;13
"Atuona";"Hiva Oa";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,506726457399103;0;13
"Atuona";"Hiva Oa";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,465116279069767;14;19
"Atuona";"Hiva Oa";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,534883720930233;14;19
"Atuona";"Hiva Oa";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,515570934256055;20;29
"Atuona";"Hiva Oa";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,484429065743945;20;29
"Atuona";"Hiva Oa";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,427536231884058;30;39
"Atuona";"Hiva Oa";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,572463768115942;30;39
"Atuona";"Hiva Oa";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,454887218045113;40;49
"Atuona";"Hiva Oa";"40 - 49 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,545112781954887;40;49
"Atuona";"Hiva Oa";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,425233644859813;50;59
"Atuona";"Hiva Oa";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,574766355140187;50;59
"Atuona";"Hiva Oa";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,460227272727273;60;150
"Atuona";"Hiva Oa";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,539772727272727;60;150
"Avera (Rurutu)";"Rurutu";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,475555555555556;0;13
"Avera (Rurutu)";"Rurutu";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,524444444444444;0;13
"Avera (Rurutu)";"Rurutu";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,414634146341463;14;19
"Avera (Rurutu)";"Rurutu";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,585365853658537;14;19
"Avera (Rurutu)";"Rurutu";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,435897435897436;20;29
"Avera (Rurutu)";"Rurutu";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,564102564102564;20;29
"Avera (Rurutu)";"Rurutu";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,534246575342466;30;39
"Avera (Rurutu)";"Rurutu";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,465753424657534;30;39
"Avera (Rurutu)";"Rurutu";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,44;40;49
"Avera (Rurutu)";"Rurutu";"40 - 49 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,56;40;49
"Avera (Rurutu)";"Rurutu";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,561797752808989;50;59
"Avera (Rurutu)";"Rurutu";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,438202247191011;50;59
"Avera (Rurutu)";"Rurutu";"60 ans +";"Femme";"Veuf,veuve";"Propriétaire du sol et du logement";0,488636363636364;60;150
"Avera (Rurutu)";"Rurutu";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,511363636363636;60;150
"Avera (Taputapuatea)";"Raiatea";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,484268125854993;0;13
"Avera (Taputapuatea)";"Raiatea";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,515731874145007;0;13
"Avera (Taputapuatea)";"Raiatea";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,525745257452574;14;19
"Avera (Taputapuatea)";"Raiatea";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,474254742547426;14;19
"Avera (Taputapuatea)";"Raiatea";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,510344827586207;20;29
"Avera (Taputapuatea)";"Raiatea";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,489655172413793;20;29
"Avera (Taputapuatea)";"Raiatea";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,476510067114094;30;39
"Avera (Taputapuatea)";"Raiatea";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,523489932885906;30;39
"Avera (Taputapuatea)";"Raiatea";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,497959183673469;40;49
"Avera (Taputapuatea)";"Raiatea";"40 - 49 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,502040816326531;40;49
"Avera (Taputapuatea)";"Raiatea";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,501440922190202;50;59
"Avera (Taputapuatea)";"Raiatea";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,498559077809798;50;59
"Avera (Taputapuatea)";"Raiatea";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,452554744525547;60;150
"Avera (Taputapuatea)";"Raiatea";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,547445255474453;60;150
"Faaa";"Tahiti";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,488658554904612;0;13
"Faaa";"Tahiti";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,511341445095388;0;13
"Faaa";"Tahiti";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,501004016064257;14;19
"Faaa";"Tahiti";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,498995983935743;14;19
"Faaa";"Tahiti";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,495937961595273;20;29
"Faaa";"Tahiti";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,504062038404727;20;29
"Faaa";"Tahiti";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,482960711960061;30;39
