"Comas";"Ile";"Sexe";"TrancheAge";"CS8";"Menages";"Individus";"ResidencesPrincipales";"PopMoyenneMenage"
"Anaa";"Anaa";"Hommes";"50-59 ans";"Ouvriers";2;2;2;5
"Anaa";"Anaa";"Hommes";"50-59 ans";"Sans emploi";7;13;7;2,57142857142857
"Anaa";"Anaa";"Hommes";"60-69 ans";"Agriculteurs exploitants";4;4;4;3,25
"Anaa";"Anaa";"Hommes";"60-69 ans";"Artisans, commerçants et chefs d'entreprise";1;1;1;2
"Anaa";"Anaa";"Hommes";"60-69 ans";"Sans emploi";6;17;6;2,83333333333333
"Anaa";"Anaa";"Hommes";"70-79 ans";"Sans emploi";;7;;
"Anaa";"Anaa";"Hommes";"80 ans et plus";"Sans emploi";;1;;
"Anaa";"Anaa";"Femmes";"0-9 ans";"Né après le 22/08/1998";;37;;
"Anaa";"Anaa";"Femmes";"10-19 ans";"Agriculteurs exploitants";;1;;
"Anaa";"Anaa";"Femmes";"10-19 ans";"Sans emploi";1;26;1;1
"Anaa";"Anaa";"Femmes";"10-19 ans";"Né après le 22/08/1998";;13;;
"Anaa";"Anaa";"Femmes";"20-29 ans";"Artisans, commerçants et chefs d'entreprise";;3;;
"Anaa";"Anaa";"Femmes";"20-29 ans";"Professions intermédiaires";2;3;2;1,5
"Anaa";"Anaa";"Femmes";"20-29 ans";"Employés";;5;;
"Anaa";"Anaa";"Femmes";"20-29 ans";"Ouvriers";;2;;
"Anaa";"Anaa";"Femmes";"20-29 ans";"Sans emploi";;20;;
"Anaa";"Anaa";"Femmes";"30-39 ans";"Agriculteurs exploitants";1;3;1;4
"Anaa";"Anaa";"Femmes";"30-39 ans";"Artisans, commerçants et chefs d'entreprise";;1;;
"Anaa";"Anaa";"Femmes";"30-39 ans";"Professions intermédiaires";1;1;1;4
"Anaa";"Anaa";"Femmes";"30-39 ans";"Employés";2;2;2;4
"Anaa";"Anaa";"Femmes";"30-39 ans";"Ouvriers";1;8;1;5
"Anaa";"Anaa";"Femmes";"30-39 ans";"Sans emploi";;20;;
"Anaa";"Anaa";"Femmes";"40-49 ans";"Agriculteurs exploitants";2;5;2;1,5
"Anaa";"Anaa";"Femmes";"40-49 ans";"Artisans, commerçants et chefs d'entreprise";;3;;
"Anaa";"Anaa";"Femmes";"40-49 ans";"Professions intermédiaires";;1;;
"Anaa";"Anaa";"Femmes";"40-49 ans";"Employés";1;1;1;2
"Anaa";"Anaa";"Femmes";"40-49 ans";"Ouvriers";;2;;
"Anaa";"Anaa";"Femmes";"40-49 ans";"Sans emploi";1;18;1;4
"Anaa";"Anaa";"Femmes";"50-59 ans";"Agriculteurs exploitants";2;5;2;3
"Anaa";"Anaa";"Femmes";"50-59 ans";"Artisans, commerçants et chefs d'entreprise";3;6;3;4,66666666666667
"Anaa";"Anaa";"Femmes";"50-59 ans";"Professions intermédiaires";;1;;
"Anaa";"Anaa";"Femmes";"50-59 ans";"Employés";2;4;2;4,5
"Anaa";"Anaa";"Femmes";"50-59 ans";"Sans emploi";2;11;2;2
"Anaa";"Anaa";"Femmes";"60-69 ans";"Agriculteurs exploitants";1;1;1;2
"Anaa";"Anaa";"Femmes";"60-69 ans";"Artisans, commerçants et chefs d'entreprise";;1;;
"Anaa";"Anaa";"Femmes";"60-69 ans";"Sans emploi";1;11;1;1
"Anaa";"Anaa";"Femmes";"70-79 ans";"Sans emploi";1;8;1;1
"Anaa";"Anaa";"Femmes";"80 ans et plus";"Sans emploi";2;3;2;1
"Faaite";"Faaite";"Hommes";"0-9 ans";"Né après le 22/08/1998";;38;;
"Faaite";"Faaite";"Hommes";"10-19 ans";"Agriculteurs exploitants";1;3;1;4
"Faaite";"Faaite";"Hommes";"10-19 ans";"Sans emploi";1;25;1;4
"Faaite";"Faaite";"Hommes";"10-19 ans";"Né après le 22/08/1998";;27;;
"Faaite";"Faaite";"Hommes";"20-29 ans";"Agriculteurs exploitants";6;11;6;6,83333333333333
"Faaite";"Faaite";"Hommes";"20-29 ans";"Professions intermédiaires";;1;;
"Faaite";"Faaite";"Hommes";"20-29 ans";"Employés";1;2;1;2
"Faaite";"Faaite";"Hommes";"20-29 ans";"Ouvriers";1;1;1;1
"Faaite";"Faaite";"Hommes";"20-29 ans";"Sans emploi";5;28;5;6,4
"Faaite";"Faaite";"Hommes";"30-39 ans";"Agriculteurs exploitants";6;9;6;5,83333333333333
"Faaite";"Faaite";"Hommes";"30-39 ans";"Artisans, commerçants et chefs d'entreprise";;1;;
"Faaite";"Faaite";"Hommes";"30-39 ans";"Cadres et professions intellectuelles supérieures";1;1;1;6
"Faaite";"Faaite";"Hommes";"30-39 ans";"Employés";3;4;3;4
"Faaite";"Faaite";"Hommes";"30-39 ans";"Ouvriers";4;4;4;4,5
"Faaite";"Faaite";"Hommes";"30-39 ans";"Sans emploi";7;20;7;4,85714285714286
"Faaite";"Faaite";"Hommes";"40-49 ans";"Agriculteurs exploitants";6;7;6;7,66666666666667
"Faaite";"Faaite";"Hommes";"40-49 ans";"Cadres et professions intellectuelles supérieures";1;1;1;15
"Faaite";"Faaite";"Hommes";"40-49 ans";"Professions intermédiaires";1;1;1;4
"Faaite";"Faaite";"Hommes";"40-49 ans";"Employés";2;2;2;4,5
"Faaite";"Faaite";"Hommes";"40-49 ans";"Ouvriers";3;4;3;8,66666666666667
"Faaite";"Faaite";"Hommes";"40-49 ans";"Sans emploi";6;10;6;3,83333333333333
"Faaite";"Faaite";"Hommes";"50-59 ans";"Agriculteurs exploitants";1;1;1;4
"Faaite";"Faaite";"Hommes";"50-59 ans";"Artisans, commerçants et chefs d'entreprise";2;2;2;3
"Faaite";"Faaite";"Hommes";"50-59 ans";"Employés";2;2;2;7
"Faaite";"Faaite";"Hommes";"50-59 ans";"Ouvriers";1;2;1;9
"Faaite";"Faaite";"Hommes";"50-59 ans";"Sans emploi";5;11;5;2,6
"Faaite";"Faaite";"Hommes";"60-69 ans";"Professions intermédiaires";1;1;1;2
"Faaite";"Faaite";"Hommes";"60-69 ans";"Sans emploi";4;9;4;2,25
"Faaite";"Faaite";"Hommes";"70-79 ans";"Sans emploi";2;9;2;2
"Faaite";"Faaite";"Femmes";"0-9 ans";"Né après le 22/08/1998";;34;;
"Faaite";"Faaite";"Femmes";"10-19 ans";"Sans emploi";;12;;
"Faaite";"Faaite";"Femmes";"10-19 ans";"Né après le 22/08/1998";;12;;
"Faaite";"Faaite";"Femmes";"20-29 ans";"Agriculteurs exploitants";1;5;1;3
"Faaite";"Faaite";"Femmes";"20-29 ans";"Professions intermédiaires";1;1;1;1
"Faaite";"Faaite";"Femmes";"20-29 ans";"Employés";;4;;
"Faaite";"Faaite";"Femmes";"20-29 ans";"Ouvriers";1;1;1;11
"Faaite";"Faaite";"Femmes";"20-29 ans";"Sans emploi";;27;;
"Faaite";"Faaite";"Femmes";"30-39 ans";"Artisans, commerçants et chefs d'entreprise";;1;;
"Faaite";"Faaite";"Femmes";"30-39 ans";"Professions intermédiaires";1;1;1;3
"Faaite";"Faaite";"Femmes";"30-39 ans";"Employés";;4;;
"Faaite";"Faaite";"Femmes";"30-39 ans";"Ouvriers";1;1;1;2
"Faaite";"Faaite";"Femmes";"30-39 ans";"Sans emploi";1;15;1;3
"Faaite";"Faaite";"Femmes";"40-49 ans";"Agriculteurs exploitants";;3;;
"Faaite";"Faaite";"Femmes";"40-49 ans";"Sans emploi";;17;;
"Faaite";"Faaite";"Femmes";"50-59 ans";"Artisans, commerçants et chefs d'entreprise";1;1;1;2
"Faaite";"Faaite";"Femmes";"50-59 ans";"Employés";;2;;
"Faaite";"Faaite";"Femmes";"50-59 ans";"Sans emploi";;9;;
"Faaite";"Faaite";"Femmes";"60-69 ans";"Sans emploi";1;11;1;3
"Faaite";"Faaite";"Femmes";"70-79 ans";"Sans emploi";;3;;
"Arue";"Tahiti";"Hommes";"0-9 ans";"Né après le 22/08/1998";;681;;
"Arue";"Tahiti";"Hommes";"10-19 ans";"Agriculteurs exploitants";;2;;
"Arue";"Tahiti";"Hommes";"10-19 ans";"Artisans, commerçants et chefs d'entreprise";;1;;
"Arue";"Tahiti";"Hommes";"10-19 ans";"Professions intermédiaires";;1;;
"Arue";"Tahiti";"Hommes";"10-19 ans";"Employés";1;11;1;7
"Arue";"Tahiti";"Hommes";"10-19 ans";"Ouvriers";1;14;1;3
"Arue";"Tahiti";"Hommes";"10-19 ans";"Sans emploi";8;401;8;3,25
"Arue";"Tahiti";"Hommes";"10-19 ans";"Né après le 22/08/1998";;350;;
"Arue";"Tahiti";"Hommes";"20-29 ans";"Agriculteurs exploitants";1;4;1;3
"Arue";"Tahiti";"Hommes";"20-29 ans";"Artisans, commerçants et chefs d'entreprise";9;17;9;3,22222222222222
"Arue";"Tahiti";"Hommes";"20-29 ans";"Cadres et professions intellectuelles supérieures";19;23;19;3,47368421052632
"Arue";"Tahiti";"Hommes";"20-29 ans";"Professions intermédiaires";29;62;29;3,86206896551724
"Arue";"Tahiti";"Hommes";"20-29 ans";"Employés";49;134;49;4,44897959183673
"Arue";"Tahiti";"Hommes";"20-29 ans";"Ouvriers";69;198;69;4,60869565217391
"Arue";"Tahiti";"Hommes";"20-29 ans";"Sans emploi";34;379;34;3,76470588235294
"Arue";"Tahiti";"Hommes";"30-39 ans";"Agriculteurs exploitants";2;3;2;2,5
"Arue";"Tahiti";"Hommes";"30-39 ans";"Artisans, commerçants et chefs d'entreprise";40;43;40;3,6
"Arue";"Tahiti";"Hommes";"30-39 ans";"Cadres et professions intellectuelles supérieures";78;83;78;3,79487179487179
"Arue";"Tahiti";"Hommes";"30-39 ans";"Professions intermédiaires";99;112;99;3,66666666666667
"Arue";"Tahiti";"Hommes";"30-39 ans";"Employés";131;158;131;4,16793893129771
"Arue";"Tahiti";"Hommes";"30-39 ans";"Ouvriers";117;150;117;5,43589743589744
"Arue";"Tahiti";"Hommes";"30-39 ans";"Sans emploi";21;117;21;4,09523809523809
"Arue";"Tahiti";"Hommes";"40-49 ans";"Agriculteurs exploitants";7;7;7;4,14285714285714
"Arue";"Tahiti";"Hommes";"40-49 ans";"Artisans, commerçants et chefs d'entreprise";60;63;60;4,36666666666667
"Arue";"Tahiti";"Hommes";"40-49 ans";"Cadres et professions intellectuelles supérieures";133;133;133;3,62406015037594
"Arue";"Tahiti";"Hommes";"40-49 ans";"Professions intermédiaires";113;116;113;3,82300884955752
"Arue";"Tahiti";"Hommes";"40-49 ans";"Employés";139;154;139;4,1294964028777
"Arue";"Tahiti";"Hommes";"40-49 ans";"Ouvriers";128;146;128;5,53125
"Arue";"Tahiti";"Hommes";"40-49 ans";"Sans emploi";32;112;32;3,375
"Arue";"Tahiti";"Hommes";"50-59 ans";"Agriculteurs exploitants";9;9;9;3,88888888888889
"Arue";"Tahiti";"Hommes";"50-59 ans";"Artisans, commerçants et chefs d'entreprise";63;64;63;3,6031746031746
"Arue";"Tahiti";"Hommes";"50-59 ans";"Cadres et professions intellectuelles supérieures";88;88;88;2,59090909090909
"Arue";"Tahiti";"Hommes";"50-59 ans";"Professions intermédiaires";64;64;64;3,328125
"Arue";"Tahiti";"Hommes";"50-59 ans";"Employés";80;85;80;4,7
"Arue";"Tahiti";"Hommes";"50-59 ans";"Ouvriers";71;73;71;5,42253521126761
"Arue";"Tahiti";"Hommes";"50-59 ans";"Sans emploi";49;194;49;2,87755102040816
"Arue";"Tahiti";"Hommes";"60-69 ans";"Agriculteurs exploitants";3;3;3;3
"Arue";"Tahiti";"Hommes";"60-69 ans";"Artisans, commerçants et chefs d'entreprise";20;21;20;2,7
"Arue";"Tahiti";"Hommes";"60-69 ans";"Cadres et professions intellectuelles supérieures";21;21;21;2,57142857142857
"Arue";"Tahiti";"Hommes";"60-69 ans";"Professions intermédiaires";6;6;6;2,16666666666667
"Arue";"Tahiti";"Hommes";"60-69 ans";"Employés";8;8;8;2,75
"Arue";"Tahiti";"Hommes";"60-69 ans";"Ouvriers";9;10;9;5,77777777777778
"Arue";"Tahiti";"Hommes";"60-69 ans";"Sans emploi";101;237;101;2,37623762376238
"Arue";"Tahiti";"Hommes";"70-79 ans";"Agriculteurs exploitants";;1;;
"Arue";"Tahiti";"Hommes";"70-79 ans";"Artisans, commerçants et chefs d'entreprise";2;2;2;2,5
"Arue";"Tahiti";"Hommes";"70-79 ans";"Cadres et professions intellectuelles supérieures";2;2;2;2,5
"Arue";"Tahiti";"Hommes";"70-79 ans";"Professions intermédiaires";1;1;1;2
"Arue";"Tahiti";"Hommes";"70-79 ans";"Employés";1;1;1;2
"Arue";"Tahiti";"Hommes";"70-79 ans";"Ouvriers";1;1;1;2
"Arue";"Tahiti";"Hommes";"70-79 ans";"Sans emploi";72;122;72;2,45833333333333
"Arue";"Tahiti";"Hommes";"80 ans et plus";"Employés";;2;;
"Arue";"Tahiti";"Hommes";"80 ans et plus";"Sans emploi";32;53;32;2,15625
"Arue";"Tahiti";"Femmes";"0-9 ans";"Né après le 22/08/1998";;716;;
"Arue";"Tahiti";"Femmes";"10-19 ans";"Employés";1;8;1;7
"Arue";"Tahiti";"Femmes";"10-19 ans";"Ouvriers";;5;;
"Arue";"Tahiti";"Femmes";"10-19 ans";"Sans emploi";4;403;4;2,5
"Arue";"Tahiti";"Femmes";"10-19 ans";"Né après le 22/08/1998";;347;;
"Arue";"Tahiti";"Femmes";"20-29 ans";"Artisans, commerçants et chefs d'entreprise";2;14;2;5,5
"Arue";"Tahiti";"Femmes";"20-29 ans";"Cadres et professions intellectuelles supérieures";7;25;7;2,57142857142857
"Arue";"Tahiti";"Femmes";"20-29 ans";"Professions intermédiaires";10;66;10;2,7
"Arue";"Tahiti";"Femmes";"20-29 ans";"Employés";20;198;20;4,05
"Arue";"Tahiti";"Femmes";"20-29 ans";"Ouvriers";1;26;1;4
"Arue";"Tahiti";"Femmes";"20-29 ans";"Sans emploi";16;425;16;3,6875
"Arue";"Tahiti";"Femmes";"30-39 ans";"Agriculteurs exploitants";;2;;
"Arue";"Tahiti";"Femmes";"30-39 ans";"Artisans, commerçants et chefs d'entreprise";6;32;6;3,33333333333333
"Arue";"Tahiti";"Femmes";"30-39 ans";"Cadres et professions intellectuelles supérieures";13;67;13;2,69230769230769
"Arue";"Tahiti";"Femmes";"30-39 ans";"Professions intermédiaires";24;143;24;2,5
"Arue";"Tahiti";"Femmes";"30-39 ans";"Employés";51;245;51;3,54901960784314
"Arue";"Tahiti";"Femmes";"30-39 ans";"Ouvriers";8;32;8;3,625
"Arue";"Tahiti";"Femmes";"30-39 ans";"Sans emploi";7;235;7;4,57142857142857
"Arue";"Tahiti";"Femmes";"40-49 ans";"Agriculteurs exploitants";2;2;2;1
"Arue";"Tahiti";"Femmes";"40-49 ans";"Artisans, commerçants et chefs d'entreprise";5;38;5;3
"Arue";"Tahiti";"Femmes";"40-49 ans";"Cadres et professions intellectuelles supérieures";22;76;22;2,72727272727273
"Arue";"Tahiti";"Femmes";"40-49 ans";"Professions intermédiaires";40;140;40;2,4
"Arue";"Tahiti";"Femmes";"40-49 ans";"Employés";64;215;64;3,15625
"Arue";"Tahiti";"Femmes";"40-49 ans";"Ouvriers";10;27;10;3,8
"Arue";"Tahiti";"Femmes";"40-49 ans";"Sans emploi";9;221;9;2,55555555555556
"Arue";"Tahiti";"Femmes";"50-59 ans";"Agriculteurs exploitants";;2;;
"Arue";"Tahiti";"Femmes";"50-59 ans";"Artisans, commerçants et chefs d'entreprise";12;35;12;1,75
"Arue";"Tahiti";"Femmes";"50-59 ans";"Cadres et professions intellectuelles supérieures";22;49;22;2,36363636363636
"Arue";"Tahiti";"Femmes";"50-59 ans";"Professions intermédiaires";25;53;25;2,2
"Arue";"Tahiti";"Femmes";"50-59 ans";"Employés";42;118;42;3,0952380952381
"Arue";"Tahiti";"Femmes";"50-59 ans";"Ouvriers";2;16;2;2
"Arue";"Tahiti";"Femmes";"50-59 ans";"Sans emploi";22;256;22;1,40909090909091
"Arue";"Tahiti";"Femmes";"60-69 ans";"Agriculteurs exploitants";;3;;
"Arue";"Tahiti";"Femmes";"60-69 ans";"Artisans, commerçants et chefs d'entreprise";4;7;4;1,75
"Arue";"Tahiti";"Femmes";"60-69 ans";"Cadres et professions intellectuelles supérieures";;5;;
"Arue";"Tahiti";"Femmes";"60-69 ans";"Professions intermédiaires";6;9;6;1,33333333333333
"Arue";"Tahiti";"Femmes";"60-69 ans";"Employés";6;13;6;2,33333333333333
"Arue";"Tahiti";"Femmes";"60-69 ans";"Ouvriers";1;4;1;1
"Arue";"Tahiti";"Femmes";"60-69 ans";"Sans emploi";30;279;30;1,23333333333333
"Arue";"Tahiti";"Femmes";"70-79 ans";"Artisans, commerçants et chefs d'entreprise";2;4;2;1,5
"Arue";"Tahiti";"Femmes";"70-79 ans";"Employés";;1;;
"Arue";"Tahiti";"Femmes";"70-79 ans";"Ouvriers";1;1;1;7
"Arue";"Tahiti";"Femmes";"70-79 ans";"Sans emploi";29;155;29;1,10344827586207
"Arue";"Tahiti";"Femmes";"80 ans et plus";"Sans emploi";18;76;18;1,05555555555556
"Apataki";"Apataki";"Hommes";"0-9 ans";"Né après le 22/08/1998";;24;;
"Apataki";"Apataki";"Hommes";"10-19 ans";"Agriculteurs exploitants";;3;;
"Apataki";"Apataki";"Hommes";"10-19 ans";"Employés";;2;;
"Apataki";"Apataki";"Hommes";"10-19 ans";"Ouvriers";1;3;1;4
"Apataki";"Apataki";"Hommes";"10-19 ans";"Sans emploi";1;11;1;4
"Apataki";"Apataki";"Hommes";"10-19 ans";"Né après le 22/08/1998";;19;;
"Apataki";"Apataki";"Hommes";"20-29 ans";"Agriculteurs exploitants";1;2;1;3
"Apataki";"Apataki";"Hommes";"20-29 ans";"Artisans, commerçants et chefs d'entreprise";1;2;1;2
"Apataki";"Apataki";"Hommes";"20-29 ans";"Professions intermédiaires";2;2;2;1,5
"Apataki";"Apataki";"Hommes";"20-29 ans";"Employés";1;1;1;3
"Apataki";"Apataki";"Hommes";"20-29 ans";"Ouvriers";13;18;13;3,69230769230769
"Apataki";"Apataki";"Hommes";"20-29 ans";"Sans emploi";;9;;
"Apataki";"Apataki";"Hommes";"30-39 ans";"Agriculteurs exploitants";1;5;1;4
"Apataki";"Apataki";"Hommes";"30-39 ans";"Employés";2;2;2;4
"Apataki";"Apataki";"Hommes";"30-39 ans";"Ouvriers";18;23;18;3,38888888888889
"Apataki";"Apataki";"Hommes";"30-39 ans";"Sans emploi";3;7;3;4,33333333333333
"Apataki";"Apataki";"Hommes";"40-49 ans";"Agriculteurs exploitants";5;6;5;3,4
"Apataki";"Apataki";"Hommes";"40-49 ans";"Artisans, commerçants et chefs d'entreprise";2;2;2;4,5
"Apataki";"Apataki";"Hommes";"40-49 ans";"Professions intermédiaires";1;2;1;1
"Apataki";"Apataki";"Hommes";"40-49 ans";"Employés";3;3;3;5
"Apataki";"Apataki";"Hommes";"40-49 ans";"Ouvriers";7;8;7;3,42857142857143
"Apataki";"Apataki";"Hommes";"40-49 ans";"Sans emploi";;5;;
"Apataki";"Apataki";"Hommes";"50-59 ans";"Agriculteurs exploitants";3;4;3;6
"Apataki";"Apataki";"Hommes";"50-59 ans";"Artisans, commerçants et chefs d'entreprise";1;2;1;6
"Apataki";"Apataki";"Hommes";"50-59 ans";"Employés";2;2;2;5,5
"Apataki";"Apataki";"Hommes";"50-59 ans";"Ouvriers";2;2;2;8
"Apataki";"Apataki";"Hommes";"50-59 ans";"Sans emploi";1;4;1;3
"Apataki";"Apataki";"Hommes";"60-69 ans";"Agriculteurs exploitants";2;2;2;4
"Apataki";"Apataki";"Hommes";"60-69 ans";"Employés";1;1;1;2
"Apataki";"Apataki";"Hommes";"60-69 ans";"Ouvriers";1;1;1;7
"Apataki";"Apataki";"Hommes";"60-69 ans";"Sans emploi";2;3;2;2,5
"Apataki";"Apataki";"Hommes";"70-79 ans";"Agriculteurs exploitants";3;3;3;3
"Apataki";"Apataki";"Hommes";"70-79 ans";"Sans emploi";5;5;5;1,2
"Apataki";"Apataki";"Hommes";"80 ans et plus";"Sans emploi";1;3;1;2
"Apataki";"Apataki";"Femmes";"0-9 ans";"Né après le 22/08/1998";;25;;
"Apataki";"Apataki";"Femmes";"10-19 ans";"Ouvriers";;1;;
"Apataki";"Apataki";"Femmes";"10-19 ans";"Sans emploi";;11;;
"Apataki";"Apataki";"Femmes";"10-19 ans";"Né après le 22/08/1998";;8;;
"Apataki";"Apataki";"Femmes";"20-29 ans";"Agriculteurs exploitants";1;4;1;3
"Apataki";"Apataki";"Femmes";"20-29 ans";"Artisans, commerçants et chefs d'entreprise";1;1;1;2
"Apataki";"Apataki";"Femmes";"20-29 ans";"Ouvriers";1;14;1;1
"Apataki";"Apataki";"Femmes";"20-29 ans";"Sans emploi";;15;;
"Apataki";"Apataki";"Femmes";"30-39 ans";"Agriculteurs exploitants";1;3;1;2
"Apataki";"Apataki";"Femmes";"30-39 ans";"Artisans, commerçants et chefs d'entreprise";;2;;
"Apataki";"Apataki";"Femmes";"30-39 ans";"Employés";;3;;
"Apataki";"Apataki";"Femmes";"30-39 ans";"Ouvriers";4;11;4;3,25
"Apataki";"Apataki";"Femmes";"30-39 ans";"Sans emploi";;8;;
"Apataki";"Apataki";"Femmes";"40-49 ans";"Agriculteurs exploitants";1;4;1;1
"Apataki";"Apataki";"Femmes";"40-49 ans";"Employés";1;3;1;4
"Apataki";"Apataki";"Femmes";"40-49 ans";"Ouvriers";1;3;1;3
"Apataki";"Apataki";"Femmes";"40-49 ans";"Sans emploi";;8;;
"Apataki";"Apataki";"Femmes";"50-59 ans";"Agriculteurs exploitants";;2;;
"Apataki";"Apataki";"Femmes";"50-59 ans";"Employés";;3;;
"Apataki";"Apataki";"Femmes";"50-59 ans";"Sans emploi";1;13;1;1
"Apataki";"Apataki";"Femmes";"60-69 ans";"Agriculteurs exploitants";1;3;1;1
"Apataki";"Apataki";"Femmes";"60-69 ans";"Sans emploi";4;9;4;1,25
"Apataki";"Apataki";"Femmes";"70-79 ans";"Artisans, commerçants et chefs d'entreprise";;1;;
"Apataki";"Apataki";"Femmes";"70-79 ans";"Sans emploi";1;1;1;1
"Apataki";"Apataki";"Femmes";"80 ans et plus";"Sans emploi";1;3;1;1
"Arutua";"Arutua";"Hommes";"0-9 ans";"Né après le 22/08/1998";;61;;
"Arutua";"Arutua";"Hommes";"10-19 ans";"Agriculteurs exploitants";1;1;1;2
"Arutua";"Arutua";"Hommes";"10-19 ans";"Employés";;2;;
"Arutua";"Arutua";"Hommes";"10-19 ans";"Ouvriers";2;5;2;1,5
"Arutua";"Arutua";"Hommes";"10-19 ans";"Sans emploi";1;28;1;1
"Arutua";"Arutua";"Hommes";"10-19 ans";"Né après le 22/08/1998";;35;;
"Arutua";"Arutua";"Hommes";"20-29 ans";"Agriculteurs exploitants";2;4;2;2,5
"Arutua";"Arutua";"Hommes";"20-29 ans";"Employés";1;2;1;2
"Arutua";"Arutua";"Hommes";"20-29 ans";"Ouvriers";23;42;23;3,34782608695652
"Arutua";"Arutua";"Hommes";"20-29 ans";"Sans emploi";12;33;12;2,83333333333333
"Arutua";"Arutua";"Hommes";"30-39 ans";"Agriculteurs exploitants";14;16;14;5,14285714285714
"Arutua";"Arutua";"Hommes";"30-39 ans";"Artisans, commerçants et chefs d'entreprise";4;4;4;3,25
"Arutua";"Arutua";"Hommes";"30-39 ans";"Employés";4;4;4;3,25
"Arutua";"Arutua";"Hommes";"30-39 ans";"Ouvriers";20;30;20;3,45
"Arutua";"Arutua";"Hommes";"30-39 ans";"Sans emploi";9;19;9;3,33333333333333
"Arutua";"Arutua";"Hommes";"40-49 ans";"Agriculteurs exploitants";17;17;17;4,52941176470588
"Arutua";"Arutua";"Hommes";"40-49 ans";"Artisans, commerçants et chefs d'entreprise";5;5;5;3,2
"Arutua";"Arutua";"Hommes";"40-49 ans";"Professions intermédiaires";1;1;1;1
"Arutua";"Arutua";"Hommes";"40-49 ans";"Employés";2;3;2;8
"Arutua";"Arutua";"Hommes";"40-49 ans";"Ouvriers";6;10;6;4,16666666666667
"Arutua";"Arutua";"Hommes";"40-49 ans";"Sans emploi";3;8;3;1,33333333333333
"Arutua";"Arutua";"Hommes";"50-59 ans";"Agriculteurs exploitants";4;4;4;3,25
"Arutua";"Arutua";"Hommes";"50-59 ans";"Artisans, commerçants et chefs d'entreprise";3;3;3;5
"Arutua";"Arutua";"Hommes";"50-59 ans";"Professions intermédiaires";2;2;2;1,5
"Arutua";"Arutua";"Hommes";"50-59 ans";"Employés";3;3;3;3,33333333333333
"Arutua";"Arutua";"Hommes";"50-59 ans";"Ouvriers";5;5;5;4,4
"Arutua";"Arutua";"Hommes";"50-59 ans";"Sans emploi";5;14;5;1,6
"Arutua";"Arutua";"Hommes";"60-69 ans";"Sans emploi";12;16;12;2,25
"Arutua";"Arutua";"Hommes";"70-79 ans";"Sans emploi";4;6;4;2,75
"Arutua";"Arutua";"Hommes";"80 ans et plus";"Sans emploi";1;2;1;2
"Arutua";"Arutua";"Femmes";"0-9 ans";"Né après le 22/08/1998";;52;;
"Arutua";"Arutua";"Femmes";"10-19 ans";"Employés";;1;;
"Arutua";"Arutua";"Femmes";"10-19 ans";"Ouvriers";;1;;
"Arutua";"Arutua";"Femmes";"10-19 ans";"Sans emploi";1;27;1;10
"Arutua";"Arutua";"Femmes";"10-19 ans";"Né après le 22/08/1998";;16;;
"Arutua";"Arutua";"Femmes";"20-29 ans";"Agriculteurs exploitants";1;2;1;5
